南渡北归（第一部）,岳南 / 湖南文艺出版社 / 2011-1 / 39.80元,8.0,《南渡北归》三部曲全景描绘了抗日战争时期流亡西南的知识分子与民族精英多样的命运和学术追求。 所谓“南渡北归”，即作品中的大批知识分子冒着抗战的炮火由中原迁往...
胡椒的全球史,[美] 玛乔丽·谢弗 / 顾淑馨 / 上海三联书店 / 2019-3 / 49.00元,6.6,看似不起眼的胡椒，却是家家餐桌必备。在中世纪时，更是欧洲达官显贵们的最爱、财富与地位的象征。黑胡椒原产于印度，距离欧洲各港口有十万八千里之远，取之向来不易。...
我的应许之地,[以色列] 阿里·沙维特 / 简扬 / 中信出版社 / 2016-1 / 69.00,8.2,《我的应许之地》是一部震撼人心的以色列建国史，也是百年来犹太民族的奋斗复兴史。作者阿里•沙维特以自己家族故事为引子，通过亲身经历、深度访谈，历史文献、私人日...
地中海三部曲（精装珍藏版）,[英] 罗杰·克劳利 / 陆大鹏、张骋 / 社会科学文献出版社 / 2017-9 / 258,8.9,《纽约时报》《经济学人》《星期日电讯报》《金融时报》《今日美国》《旧金山纪事报》等隆重推荐 A USA TODAY NOTABLE BOOK OF SUMM...
苏联的最后一天,(爱尔兰)奥克莱利著 / 沈力 / 广西师范大学出版社 / 2014-9 / 68.00,8.3,苏联是在枪林弹雨中建立起来的，却是通过政令解散的。 爱尔兰记者奥克莱里是苏联解体的见证者，在本书中，他以1991年12月25日这一天为框架，围绕着戈尔巴乔夫...
马其顿的亚历山大,[英] 彼得·格林 / 詹瑜松 / 后浪丨民主与建设出版社 / 2018-3 / 118.00元,8.6,追寻亚历山大的脚步，直面这位伟大征服者的内心世界 ..................... ※编辑推荐※ 仅仅是亚历山大这个名字就可以唤起无穷的想象力，然...
阿拉伯的劳伦斯,[美] 斯科特·安德森 / 陆大鹏 / 社会科学文献出版社 / 2014-9-1 / 79.00元,9.1,1914年第一次世界大战爆发以后，德国的盟友土耳其趁机侵入阿拉伯半岛，而该地区的各个部族处于一盘散沙的状态，无力抵抗土耳其侵略军。英国军方派了“阿拉伯通”陆...
论美国的民主,[法]托克维尔 / 董果良 / 商务印书馆 / 1989-1-1 / 60.00,9.2,托克维尔(Tocqueville)是法国著名的政论思想家，其代表作《论美国的民主》出版后 ，立即受到普遍好评，使他名扬海外。这部著作的上卷和下卷，不是写于同...
娜塔莎之舞,[英] 奥兰多·费吉斯 / 曾小楚、郭丹杰 / 四川人民出版社 / 2018-3 / 139,9.3,★梁文道、刘瑜、熊培云、许知远联袂主编——“理想国译丛”（MIRROR）系列之一（025）——保持开放性的思想和非功利的眼睛，看看世界的丰富性与复杂性。本书...
天朝的崩溃（修订版）,茅海建 / 生活·读书·新知三联书店 / 2014-10 / 59.00元,9.4,本书大量使用中国第一历史档案馆所藏清朝奏折，和英国所藏中英交涉文件、日本学者汇编资料集等等，详尽考订并重建了与战争相关的大量基本史实。作者抓住几个主要人物为...
明朝那些事儿（叁）,当年明月 / 中国友谊出版公司 / 2007-4 / 24.80,8.9,从明英宗朱祁镇成功复辟的“夺门之变”后写起，叙述了忠奸不分的朱祁镇听信谗言，杀害曾救其于危难之际的大功臣于谦，而这也成为他继“土木堡之变”后在历史上留下的又...
文明的冲突与世界秩序的重建,[美]亨廷顿 / 周琪 / 新华出版社 / 2010-1-1 / 39.80元,8.7,《文明的冲突与世界秩序的重建》作者是国际政治研究领域著名学者，曾任美国哈佛国际和地区问题研究所所长。作者认为，冷战后，世界格局的决定因素表现为七大或八大文明...
荒诞医学史,莉迪亚•康、内特•彼得森 / 王秀莉、赵一杰 / 江西科学技术出版社 / 2018-9 / 48.00元,8.0,通过放血来治愈失血，水银蒸气浴治疗梅毒，用发烫的烙铁烧掉痔疮，“爆菊法”拯救溺水的人，镭辐射水包治百病，吃土让你药到病除…… 作为一本讲述西方医学史上疾病荒...
